ID,DisplayName_lang,Description_lang,Field_9_0_1_33978_001,MatQualityWeight,Field_10_0_0_44649_004
1,"Specify Haste","Shadowlands recipes for Rare and Legendary armor and accessories.",0,0,0
3,"TEST ONLY",,1,0,0
5,"Specify Mastery","Shadowlands recipes for Rare and Legendary armor and accessories.",0,0,0
6,"Specify Critical Strike","Shadowlands recipes for Rare and Legendary armor and accessories.",0,0,0
7,"Specify Versatility","Shadowlands recipes for Rare and Legendary armor and accessories.",0,0,0
8,"Increase Item Level",,0,0,0
11,"Loosened Belt",,0,0,0
15,"Specify Suit",,0,0,0
17,Use,,1,0,0
18,"Increase Item Level","Many equipment recipes prior to the current expansion.",0,0,0
25,Miscellaneous,,0,0,0
29,"Set Item Level","Most Shadowlands equipment recipes.",0,0,0
35,"Elethium Setting",,0,0,0
36,"Display text here.",,1,0,0
37,"Necrostatic Micro Capacitor",,0,0,0
38,"Reinforced Girdle",,0,0,0
39,"Craftman's Pouch",,0,0,0
40,"Hydrodynamic Accelerators",,0,0,0
41,"Luxurios Feather",,0,0,0
42,"Shadowy Rabbit's Foot",,0,0,0
44,"Alchemist's Pouch",,0,0,0
45,"Set Item Level","Most Shadowlands armor and accessory recipes.",0,0,0
46,"Increase Item Level","Shadowlands recipes for Rare (blue) armor and accessories.",0,0,0
50,"Set Item Level","Shadowlands recipes for armor and accessories worthy of becoming Legendaries.",0,0,0
56,"Add Progenitor Core","Shadowlands recipes for Rare (blue) armor and accessories.",0,0,0
57,"Test Ore",,1,20,1
59,"Draconium Ore",,0,10,1
60,"Khaz'gorite Ore",,0,14,1
61,"Serevite Ore",,0,3,1
62,"Primal Molten Alloy",,0,48,1
63,"Frostfire Alloy",,0,48,1
64,"Obsidian Seared Alloy",,0,78,1
65,"Infurious Alloy",,0,33,1
66,"Test Optional Reagent with Quality 01","Most Dragon Isles Test with Recipes. (DNT)",0,0,0
67,"Test Optional Reagent with Quality 02","Most Dragon Isles Test with Recipes. (DNT)",0,0,0
68,"Test Finishing Reagent","Test finishing reagent slot (DNT)",0,0,2
69,"Test Finishing Reagent with Quality 01","Test finishing reagent slot (DNT)",0,0,2
71,Hochenblume,,0,3,1
72,"Draconic Vial",,0,11,1
